city,district,voivodeship,localization_y,localization_x,market,area,rent,rooms,floor,floors,state,build_yr,build_type,build_material,parking,parking_spots,kitchen,windows,ownership,transport,education,health,recreation,other,other2,additional_area,bathroom,installation,noise,heating,media,direction,price,url
Wroc³aw,Œródmieœcie,dolnoœl¹skie,51.1151535,17.0663924,wtorny,64.75,,3,1,3,do odœwie¿enia,1917,kamienica,ceg³a,,,oddzielna,,w³asnoœæ,,,,,,,balkon*piwnica,,,,,,,535000,https://gratka.pl/nieruchomosci/mieszkanie-wroclaw-srodmiescie-ul-sienkiewicza/ob/18712155
Warszawa,Bemowo,mazowieckie,52.23064,20.8896,wtorny,70.44,,3,3,4,,2014,blok,pustak,,,,,,,,,,,,balkon,,,,,,,845000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-bemowo-ul-batalionow-chlopskich/ob/19293923
Szczytnica,boles³awiecki,dolnoœl¹skie,51.278362,15.718827,wtorny,73.75,,3,parter,2,,,,ceg³a,w gara¿u,1,,,w³asnoœæ,,,,,,,,,,,,,,225000,https://gratka.pl/nieruchomosci/mieszkanie-szczytnica/ob/18788931
Warszawa,Wilanów,mazowieckie,52.17416667,21.08027778,wtorny,80.08,720,4,2,2,stan deweloperski,2019,dom wielorodzinny/szeregowiec,pustak,w gara¿u,,w aneksie,plastikowe/PCV,,autobus,przedszkole,,,,,,,,,,,,687887,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-wilanow-ul-zawady/ob/18014459
Warszawa,Wola,mazowieckie,52.2247501,20.9437823,wtorny,39.89,,2,1,6,wysoki standard,2016,,ceg³a,,,,,w³asnoœæ,,,,,,,balkon,,,,,,,750000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-wola-ul-jana-kazimierza/ob/18582695
Warszawa,Tarchomin,mazowieckie,52.32428,20.94788,pierwotny,28.63,,1,1,3,,2022,,,,,,,,,,,,,,balkon*piwnica,,,,,,,266770,https://gratka.pl/nieruchomosci/nowe-mieszkanie-warszawa-tarchomin-ul-strumykowa/ob/19366271
Zabierzów,ma³opolskie,,50.1042,19.8345,pierwotny,68.50,,4,parter,2,,,blok,,brak miejsca parkingowego,,,plastikowe/PCV,w³asnoœæ,,,,,,,,,,,,,,400000,https://gratka.pl/nieruchomosci/nowe-mieszkanie-zabierzow-rzaska-rzaska-ul-krakowska-okolice/ob/19202407
Sosnowiec,Zagórze,œl¹skie,50.2854300229386,19.183147194243,wtorny,63,,3,3,4,œwie¿o po remoncie,,blok,,,,,plastikowe/PCV,,,,,,,,,,do wymiany,,,,,265000,https://gratka.pl/nieruchomosci/mieszkanie-sosnowiec-zagorze-ul-lubelska/ob/19179701
Starogard Gdañski,starogardzki,pomorskie,53.96667,18.53333,wtorny,91.93,,5,3,3,,2019,blok,pustak,,1,,,spó³dzielcze w³asnoœciowe,,,,,,,,,,,,,,459000,https://gratka.pl/nieruchomosci/mieszkanie-starogard-gdanski/ob/18734361
Poznañ,Wilda,wielkopolskie,52.3777186,16.9170698,wtorny,30.30,,1,3,4,do odœwie¿enia,,kamienica,,brak miejsca parkingowego,,w aneksie,,,,,,,,,,,,,,,,285000,https://gratka.pl/nieruchomosci/mieszkanie-poznan-wilda/ob/19371375
Choszczno,choszczeñski,zachodniopomorskie,53.16832,15.41956,wtorny,28,,1,2,2,,,blok,,,,oddzielna,,w³asnoœæ,,,,,,,,,,,,,,65000,https://gratka.pl/nieruchomosci/mieszkanie-choszczno/ob/19093209
Lublin,Wrotków,lubelskie,51.2168850766,22.5456205865485,wtorny,61.30,,4,3,4,wysoki standard,1980,blok,ceg³a,,,,,spó³dzielcze w³asnoœciowe z KW,,,,,,,,,,,,,,456890,https://gratka.pl/nieruchomosci/mieszkanie-lublin-wrotkow-ul-medalionow/ob/18782971
