city,district,voivodeship,localization_y,localization_x,market,area,rent,rooms,floor,floors,state,build_yr,build_type,build_material,parking,parking_spots,kitchen,windows,ownership,transport,education,health,recreation,other,other2,additional_area,bathroom,installation,noise,heating,media,direction,price,url
Gdañsk,Che³m,pomorskie,54.3063859878694,18.5868602756545,wtorny,63.71,,3,3,3,,2011,,,,,,,,,,,,,,,,,,,,,449000,https://gratka.pl/nieruchomosci/mieszkanie-gdansk-chelm-ul-olimpijska/ob/18785911
Czêstochowa,Wyczerpy Dolne,œl¹skie,50.8097,19.1223,wtorny,64.60,,3,2,4,do odœwie¿enia,,blok,,,,,plastikowe/PCV,,,,,,,,,,,,,,,310000,https://gratka.pl/nieruchomosci/mieszkanie-czestochowa-wyczerpy-dolne/ob/17784827
£ódŸ,Polesie,³ódzkie,51.7601361,19.4428834,wtorny,73.30,,2,2,,,1939,,,,1,,,w³asnoœæ,,,,,,,balkon*piwnica,,,,,,,486000,https://gratka.pl/nieruchomosci/mieszkanie-lodz-polesie-ul-kopernika/ob/19180063
Warszawa,Tarchomin,mazowieckie,52.3096,20.9837,pierwotny,59.18,,3,5,8,,2022,,,,,,,,,,,,,,,,,,,,,538538,https://gratka.pl/nieruchomosci/nowe-mieszkanie-warszawa-tarchomin-ul-palukow/ob/19334927
Warszawa,Bia³o³êka,mazowieckie,52.32593,20.95098,pierwotny,26.54,,1,parter,3,,2022,,,,,,,,,,,,,,,,,,,,,245000,https://gratka.pl/nieruchomosci/nowe-mieszkanie-warszawa-bialoleka/ob/19338465
Wroc³aw,Nowy Dwór,dolnoœl¹skie,51.1142,16.9783,wtorny,67.10,520,6,7,10,,1980,blok,,,,w aneksie,,spó³dzielcze w³asnoœciowe z KW,,,,,,,,,,ciche,,,,565000,https://gratka.pl/nieruchomosci/mieszkanie-wroclaw-nowy-dwor-ul-strzegomska/ob/15966991
Olsztyn,Zatorze,warmiñsko-mazurskie,,,pierwotny,70.56,,4,5,7,,,blok,,przynale¿ne na ulicy,,w aneksie,plastikowe/PCV,w³asnoœæ,,,,,,,,,,,,,pó³nocne*wschodnie*zachodnie,395065,https://gratka.pl/nieruchomosci/nowe-mieszkanie-olsztyn-zatorze-ul-marii-zientary-malewskiej-33/ob/11489437
¯arnowiec,pucki,pomorskie,54.787531,18.085754,wtorny,81.20,,4,1,1,,1973,,,,1,oddzielna,,w³asnoœæ,,,,,,,piwnica,,,,,,,300000,https://gratka.pl/nieruchomosci/mieszkanie-zarnowiec-ul-centrum/ob/19429585
Radomsko,radomszczañski,³ódzkie,51.0583809,19.4207267,pierwotny,27.78,,1,2,2,,,,ceg³a,,,,,w³asnoœæ,,,,,,,balkon,,,,,,,124454,https://gratka.pl/nieruchomosci/nowe-mieszkanie-radomsko-ul-pilsudskiego/ob/19392157
Gdañsk,pomorskie,,54.3888403149405,18.6208502122338,wtorny,30.65,,1,parter,2,,1920,,,,,,,,,,,,,,,,,,,,,299000,https://gratka.pl/nieruchomosci/mieszkanie-gdansk-ul-deotymy/ob/18787713
Warszawa,Ochota,mazowieckie,52.22449,20.98981,wtorny,156,,5,7,7,,1937,,,,,,,,,,,,,,,,,,,,,1490000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-ochota-ul-raszynska/ob/19392729
Warszawa,Mokotów,mazowieckie,52.2058058268359,21.0063548388694,wtorny,65,,2,1,3,,1950,kamienica,,,,oddzielna,,w³asnoœæ,,,,,,,piwnica,,,,,,,790000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-mokotow-ul-opoczynska/ob/18774805
Wroc³aw,Nadodrze,dolnoœl¹skie,51.11797,17.03028,wtorny,88,,4,3,5,,1876,,,,,,,,,,,,,,piwnica,,,,,,,774400,https://gratka.pl/nieruchomosci/mieszkanie-wroclaw-nadodrze-ul-stanislawa-dubois/ob/19423429
Kraków,Zab³ocie,ma³opolskie,50.04895,19.95872,wtorny,38,,2,4,4,wysoki standard,2010,apartamentowiec,,brak miejsca parkingowego,,w aneksie,,w³asnoœæ,,,,,,,,,,,,,,480000,https://gratka.pl/nieruchomosci/mieszkanie-krakow-zablocie-ul-przemyslowa/ob/19376085
Kowalewo Pomorskie,golubsko-dobrzyñski,kujawsko-pomorskie,53.1547,18.898,wtorny,38.57,,2,1,2,,,,,,,,,,,,,,,,,,,,,,,149000,https://gratka.pl/nieruchomosci/mieszkanie-kowalewo-pomorskie/ob/19272431
Gliwice,œl¹skie,,50.2942,18.6655,pierwotny,35.10,,2,2,7,,,apartamentowiec,,,,,,,,,,,,,,,,,,,,210600,https://gratka.pl/nieruchomosci/nowe-mieszkanie-gliwice/ob/19247535
Katowice,œl¹skie,,,,pierwotny,70.15,,4,1,1,,,dom wielorodzinny/szeregowiec,,przynale¿ne na ulicy,,w aneksie,plastikowe/PCV,,,,,,,,,,,,,,,322690,https://gratka.pl/nieruchomosci/nowe-mieszkanie-katowice-ul-godula-ruda-slaska-15-min-od-katowic/ob/12182105
Warszawa,Stare Bielany,mazowieckie,52.27467662,20.97025037,wtorny,90,,3,1,1,,1935,kamienica,ceg³a,w gara¿u,,,,,,,,,,,balkon*piwnica,,,,,,,1300000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-stare-bielany-ul-kolektorska/ob/19358219
Warszawa,Mokotów,mazowieckie,52.1712681356078,21.0029871211151,wtorny,56.67,,2,4,4,,2000,,,,,,,w³asnoœæ,,,,,,,balkon*piwnica,,,,,,,620000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-mokotow-ul-jadzwingow/ob/18706625
Kraków,P³aszów,ma³opolskie,50.03722222,19.99,pierwotny,59.69,,3,2,4,,,,,,,,plastikowe/PCV,w³asnoœæ,,,,,,,,,,,,,,561000,https://gratka.pl/nieruchomosci/nowe-mieszkanie-krakow-plaszow-ul-przewoz-okolice/ob/18860853
Warszawa,Czyste,mazowieckie,52.2258,20.9691,wtorny,59,,3,3,6,,2019,apartamentowiec,ceg³a,w gara¿u,1,,,w³asnoœæ,,,,,,,balkon*piwnica,,,,,,,814900,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-czyste-ul-brylowska/ob/18998565
Ustroñ,cieszyñski,œl¹skie,49.724255,18.808961,wtorny,59,,2,2,2,,2020,,,,,,,w³asnoœæ,,,,,,,,,,,,,,388395,https://gratka.pl/nieruchomosci/mieszkanie-ustron/ob/18749035
Warszawa,Ochota,mazowieckie,52.1996,20.9759,wtorny,55.42,,3,parter,10,,2004,apartamentowiec,pustak,,,w aneksie,plastikowe/PCV,,autobus*tramwaj,przedszkole*szko³a podstawowa,,,centrum handlowe,,,,,,,,,620000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-ochota-ul-karola-bohdanowicza/ob/18000145
Wroc³aw,Muchobór Ma³y,dolnoœl¹skie,51.1141868,16.9783302,wtorny,64.50,,3,2,3,dobry,1980,blok,p³yta,przynale¿ne na ulicy,,,,spó³dzielcze w³asnoœciowe,,,,,,,balkon*piwnica,,,,,,,459000,https://gratka.pl/nieruchomosci/mieszkanie-wroclaw-muchobor-maly-ul-strzegomska/ob/18534359
Kraków,Mistrzejowice,ma³opolskie,50.0992,20.011,wtorny,53.16,550,3,4,4,,1976,blok,p³yta,,,,plastikowe/PCV,w³asnoœæ,,,,,,,,,,ciche,,,,410000,https://gratka.pl/nieruchomosci/mieszkanie-krakow-mistrzejowice-ul-osiedle-bohaterow-wrzesnia/ob/19060155
Lublin,Czechów Po³udniowy,lubelskie,51.246181,22.561284,pierwotny,71.81,,3,1,5,,,blok,,w gara¿u,,,plastikowe/PCV,w³asnoœæ,,,,,,,,,,,,,zachodnie,610385,https://gratka.pl/nieruchomosci/nowe-mieszkanie-lublin-czechow-poludniowy/ob/19456517
Bydgoszcz,Œródmieœcie,kujawsko-pomorskie,53.126,18.0079,wtorny,120,,wiêcej ni¿ 8,2,3,,,kamienica,,brak miejsca parkingowego,,,,,,,,,,,piwnica,,,,,,,760000,https://gratka.pl/nieruchomosci/mieszkanie-bydgoszcz-srodmiescie/ob/19318953
Cieszyn,cieszyñski,œl¹skie,49.7582456272058,18.6353384844106,wtorny,128.51,,4,parter,1,,,dom wielorodzinny/szeregowiec,pustak,,,w aneksie,,w³asnoœæ,,,,,,,piwnica,,,,,,,470000,https://gratka.pl/nieruchomosci/mieszkanie-cieszyn-ul-hilarego-filasiewicza/ob/19179041
Kraków,Nowa Huta,ma³opolskie,50.09118602,20.0113313,wtorny,25,,1,9,10,,1970,blok,p³yta,,,w aneksie,,,,,,,,,piwnica,,,,,,,235000,https://gratka.pl/nieruchomosci/mieszkanie-krakow-nowa-huta-ul-os-kalinowe/ob/18629407
Warszawa,Bia³o³êka,mazowieckie,52.3191065191106,21.0577986505862,wtorny,53.70,,2,parter,3,,2003,blok,ceg³a,,1,oddzielna,,w³asnoœæ,,,,,,,balkon,,,,,,,419000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-bialoleka-ul-skarbka-z-gor/ob/18977783
Bia³ystok,podlaskie,,53.129878,23.169956,pierwotny,36.36,,2,3,7,,,apartamentowiec,,,,,,,,,,,,,,,,,,,,Zapytajoce,https://gratka.pl/nieruchomosci/nowe-mieszkanie-bialystok-ul-transportowa-i/ob/14293689
Wroc³aw,Z³otniki,dolnoœl¹skie,51.1408,16.88668,wtorny,29.23,,1,1,2,,2020,blok,,,,,,,,,,,,,,,,,,,,305000,https://gratka.pl/nieruchomosci/mieszkanie-wroclaw-zlotniki-ul-wielkopolska/ob/19295299
Gdañsk,Jasieñ,pomorskie,54.333,18.5675,pierwotny,52.96,,2,3,5,,,apartamentowiec,,,,,,,,,,,,,,,,,,,,Zapytajoce,https://gratka.pl/nieruchomosci/nowe-mieszkanie-gdansk-jasien-ul-eugeniusza-wegrzyna-4/ob/14278351
Warszawa,Œródmieœcie,mazowieckie,52.2296756,21.0122287,wtorny,74,,3,4,4,,1903,kamienica,ceg³a,,,,,w³asnoœæ,,,,,,,piwnica,,,,,,,1250000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-srodmiescie/ob/18917399
Kraków,Azory,ma³opolskie,50.0846142,19.911315,wtorny,64.50,,3,2,4,,2015,blok,,w gara¿u,,oddzielna,,w³asnoœæ,,,,,,,balkon,osobne WC,,,,,,650000,https://gratka.pl/nieruchomosci/mieszkanie-krakow-azory-ul-murarska/ob/18914019
Baranowo,poznañski,wielkopolskie,52.436686,16.788786,pierwotny,157,,6,1,2,,2019,,ceg³a,,1,,,w³asnoœæ,,,,,,,,,,,,,,865000,https://gratka.pl/nieruchomosci/nowe-mieszkanie-baranowo/ob/18780087
Reda,wejherowski,pomorskie,54.603527512995,18.3183078676147,wtorny,56.90,,3,parter,2,,2020,blok,,,1,,,w³asnoœæ,,,,,,,,,,,,,,321485,https://gratka.pl/nieruchomosci/mieszkanie-reda-ul-torowa/ob/18582789
Bytom,œl¹skie,,50.3484,18.9157,wtorny,52.62,215,2,parter,4,wysoki standard,,kamienica,ceg³a,przynale¿ne na ulicy,,w aneksie,plastikowe/PCV,w³asnoœæ,PKP*PKS*autobus*tramwaj,¿³obek*przedszkole*szko³a podstawowa*uczelnia*szko³a œrednia,apteka*przychodnia / szpital*weterynarz,,bazarek*centrum handlowe*sklep,,,osobne WC*prysznic,po wymianie,,,,,199000,https://gratka.pl/nieruchomosci/mieszkanie-bytom-ul-plac-michala-wolskiego-mieszkanie-o-wysokim-standardzie/ob/17672511
Wroc³aw,Krzyki,dolnoœl¹skie,51.0831,17.0479,pierwotny,37.79,,2,7,7,,,blok,,,,,,,,,,,,,,,,,,,,Zapytajoce,https://gratka.pl/nieruchomosci/nowe-mieszkanie-wroclaw-krzyki-ul-armii-krajowej/ob/13743513
Bydgoszcz,kujawsko-pomorskie,,53.1212,17.9925,pierwotny,69.75,,4,parter,10,,2018,apartamentowiec,ceg³a,w gara¿u,,,,w³asnoœæ,,,,,,,balkon,,,,,,,561600,https://gratka.pl/nieruchomosci/nowe-mieszkanie-bydgoszcz/ob/19264187
Bielsko-Bia³a,œl¹skie,,49.8254,19.031,wtorny,34,,1,1,3,,,blok,ceg³a,,,,,w³asnoœæ,,,,,,,piwnica,,,,,,,206000,https://gratka.pl/nieruchomosci/mieszkanie-bielsko-biala/ob/19190029
Kraków,Os. Z³ocieñ,ma³opolskie,50.02679371,20.0477314,pierwotny,37.24,,2,parter,4,,2019,,,w gara¿u,,w aneksie,,w³asnoœæ,,,,,,,taras,,,,,,,277438,https://gratka.pl/nieruchomosci/nowe-mieszkanie-krakow-os-zlocien-ul-osiedle-zlotej-jesieni/ob/19267237
,,,,20.0477314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://gratka.pl/nieruchomosci/mieszkanie-szczecin/ob/19436701
Kraków,Podgórze,ma³opolskie,50.0228906618963,19.9601305835856,pierwotny,88.73,,4,parter,8,,2021,blok,pustak,,1,,,w³asnoœæ,,,,,,,,,,,,,,769000,https://gratka.pl/nieruchomosci/nowe-mieszkanie-krakow-podgorze-ul-slawka/ob/19286745
Pyskowice,gliwicki,œl¹skie,,,wtorny,55.98,,2,parter,2,,,kamienica,ceg³a,,,,,w³asnoœæ,,,,,,,,,,,,,,175000,https://gratka.pl/nieruchomosci/mieszkanie-pyskowice-ul-z-ogrodkiem/ob/17475835
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-srodmiescie-ul-twarda/ob/19444443
Gdañsk,Œródmieœcie,pomorskie,54.34304,18.65649,wtorny,50.80,,2,1,7,,2018,,,,,,,,,,,,,,,,,,,,,890000,https://gratka.pl/nieruchomosci/mieszkanie-gdansk-srodmiescie-ul-jaglana/ob/19360279
Kraków,ma³opolskie,,50.0646501,19.9449799,wtorny,89,,3,parter,3,do odœwie¿enia,2000,,,,1,,,w³asnoœæ,,,,,,,,,,,,,,920000,https://gratka.pl/nieruchomosci/mieszkanie-krakow/ob/19440245
Wroc³aw,Stare Miasto,dolnoœl¹skie,51.1087443,17.0143368,wtorny,68.19,,3,5,5,,1960,blok,p³yta,,,,,w³asnoœæ,,,,,,,,,,,,,,520000,https://gratka.pl/nieruchomosci/mieszkanie-wroclaw-stare-miasto/ob/18897917
Kraków,Podgórze,ma³opolskie,50.0413,19.9934,pierwotny,57.03,,3,3,,,,blok,,,,,,,,,,,,,,,,,,,,530379,https://gratka.pl/nieruchomosci/nowe-mieszkanie-krakow-podgorze-ul-przewoz/ob/19087821
Gdañsk,Wrzeszcz,pomorskie,54.3782,18.5964,wtorny,62.79,,3,6,12,wysoki standard,2019,apartamentowiec,,,,w aneksie,,,,,,,,,,,,,,,,799000,https://gratka.pl/nieruchomosci/mieszkanie-gdansk-wrzeszcz/ob/19483621
Kielce,Szyd³ówek,œwiêtokrzyskie,50.8898052,20.6414384,wtorny,93.50,,4,3,3,,2001,blok,ceg³a,w gara¿u,1,w aneksie,,w³asnoœæ,,,,,,,balkon,osobne WC,,,,,,470000,https://gratka.pl/nieruchomosci/mieszkanie-kielce-szydlowek-ul-turystyczna/ob/19206103
Gdynia,Chwarzno,pomorskie,,,pierwotny,77.13,,4,3,4,,,blok,ceg³a,,,,,,autobus,¿³obek*przedszkole*szko³a podstawowa*gimnazjum,apteka,,sklep,,,,,,,,,Zapytajoce,https://gratka.pl/nieruchomosci/nowe-mieszkanie-gdynia-chwarzno-ul-czeslawa-niemena/ob/15631836
Warszawa,Chrzanów,mazowieckie,52.2326597,20.8968437,pierwotny,82.98,,4,4,4,,2022,apartamentowiec,,w gara¿u,,w aneksie,,w³asnoœæ,,,,,,,balkon,,,,,,,810600,https://gratka.pl/nieruchomosci/nowe-mieszkanie-warszawa-chrzanow/ob/19376563
Lublin,Wieniawa,lubelskie,51.2383060490495,22.5418790122857,wtorny,40,,1,3,3,do remontu,1965,blok,ceg³a,,,,,w³asnoœæ,,,,,,,,,,,,,,320000,https://gratka.pl/nieruchomosci/mieszkanie-lublin-wieniawa-ul-sowinskiego/ob/19215541
Wroc³aw,Œródmieœcie,dolnoœl¹skie,51.1132,17.0813,wtorny,63,,3,4,5,,2020,,ceg³a,w gara¿u,,,,w³asnoœæ,,,,,,,balkon,,,,,,,405000,https://gratka.pl/nieruchomosci/mieszkanie-wroclaw-srodmiescie/ob/19320621
Skar¿ysko-Kamienna,skar¿yski,œwiêtokrzyskie,51.1200899,20.8697357,wtorny,82.20,,3,1,2,,2008,blok,ceg³a,w gara¿u,,w aneksie,,w³asnoœæ,,,,,,,balkon,,,,,,,420000,https://gratka.pl/nieruchomosci/mieszkanie-skarzysko-kamienna-ul-zeromskiego/ob/19204975
Wroc³aw,Fabryczna,dolnoœl¹skie,51.095,16.9891,wtorny,37,400,2,1,11,do odœwie¿enia,1970,blok,p³yta,,,,,spó³dzielcze w³asnoœciowe,,,,,,,,,,ciche,,,,330000,https://gratka.pl/nieruchomosci/mieszkanie-wroclaw-fabryczna-ul-inzynierska/ob/18084853
Sosnowiec,œl¹skie,,50.27496,19.17249,pierwotny,52.32,,3,2,5,,2021,apartamentowiec,,,,,,,,,,,,,balkon*taras,,,,,,,290693,https://gratka.pl/nieruchomosci/nowe-mieszkanie-sosnowiec/ob/19456209
Gliwice,œl¹skie,,50.29308,18.6755,wtorny,57,,2,2,3,do remontu,,blok,,,,,,,,,,,,,,,,,,,,259000,https://gratka.pl/nieruchomosci/mieszkanie-gliwice/ob/18754365
Kielce,œwiêtokrzyskie,,50.8624,20.6362,pierwotny,77.36,,3,5,6,,2019,blok,,w gara¿u,,,,,,,,,,,balkon,,,,,,,402272,https://gratka.pl/nieruchomosci/nowe-mieszkanie-kielce-ul-seminaryjska/ob/19205821
Gdañsk,pomorskie,,54.35353595,18.58215392,wtorny,95.77,,4,3,3,wysoki standard,2005,blok,ceg³a,,1,,,w³asnoœæ,,,,,,,balkon*piwnica,,,,,,,1095000,https://gratka.pl/nieruchomosci/mieszkanie-gdansk-ul-budapesztanska/ob/18914373
,,,,18.58215392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://gratka.pl/nieruchomosci/sloneczna-kawalerka-na-retkinii/oi/19093757
Ustroñ,cieszyñski,œl¹skie,49.7082,18.8497,pierwotny,31.58,,2,6,,,,,,,,,,,,,,,,,,,,,,,,396202.68,https://gratka.pl/nieruchomosci/nowe-mieszkanie-ustron-ul-stroma/ob/17949187
Wroc³aw,Leœnica,dolnoœl¹skie,51.1495926481771,16.8620970930589,pierwotny,50.39,,2,1,3,,,blok,,,,,,,,,,,,,,,,,,,,317457,https://gratka.pl/nieruchomosci/nowe-mieszkanie-wroclaw-lesnica-ul-krepicka/ob/11501953
Warszawa,Wilanów,mazowieckie,52.173207468,21.1060207957256,wtorny,110,,3,1,2,wysoki standard,2008,apartamentowiec,,,1,,,w³asnoœæ,,,,,,,,,,,,,,1160000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-wilanow-ul-syta/ob/18773843
Kraków,ma³opolskie,,50.0697509,19.868714,wtorny,123,,4,1,3,,2008,apartamentowiec,,w gara¿u,,oddzielna,,w³asnoœæ,,,,,,,balkon*taras,,,,,,,1350000,https://gratka.pl/nieruchomosci/mieszkanie-krakow/ob/19330795
Boles³awiec,boles³awiecki,dolnoœl¹skie,51.261696,15.568019,wtorny,84.20,,4,parter,1,,,,,,,,,w³asnoœæ,,,,,,,,,,,,,,354900,https://gratka.pl/nieruchomosci/mieszkanie-boleslawiec/ob/18786761
W¹growiec,w¹growiecki,wielkopolskie,52.80848,17.19966,wtorny,57.36,,4,,,,,,,,,,,,,,,,,,,,,,,,,330000,https://gratka.pl/nieruchomosci/mieszkanie-wagrowiec/ob/19265585
Warszawa,Sady ¯oliborskie,mazowieckie,52.2598891,20.9659241,wtorny,56,,3,4,4,do odœwie¿enia,1960,blok,ceg³a,,,,,spó³dzielcze w³asnoœciowe z KW,,,,,,,balkon*piwnica,,,,,,,530000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-sady-zoliborskie/ob/19177629
Bydgoszcz,Czy¿kówko,kujawsko-pomorskie,53.1444271,17.9607605,wtorny,33.10,,2,2,2,,2021,apartamentowiec,,,,w aneksie,,,,,,,,,,,,,,,,234679,https://gratka.pl/nieruchomosci/mieszkanie-bydgoszcz-czyzkowko/ob/19270949
Warszawa,mazowieckie,,52.1744,21.1155,wtorny,74.50,,3,1,2,,2007,apartamentowiec,pustak,w gara¿u,,w aneksie,,w³asnoœæ,,,,,,,,,,,,,,790000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-ul-bruzdowa/ob/19106945
Wroc³aw,Grabiszyn-Grabiszynek,dolnoœl¹skie,51.09472222,16.98583333,wtorny,93.02,,4,6,6,,2009,blok,,w gara¿u,,,,w³asnoœæ,,,,,,,balkon*loggia,,,,,,,855000,https://gratka.pl/nieruchomosci/mieszkanie-wroclaw-grabiszyn-grabiszynek/ob/18635129
Warszawa,Praga-Pó³noc,mazowieckie,52.2598,21.0514,pierwotny,63.57,,3,parter,6,,,apartamentowiec,,w gara¿u,,,plastikowe/PCV,w³asnoœæ,,,,,,,,,,,,,,680199,https://gratka.pl/nieruchomosci/nowe-mieszkanie-warszawa-praga-polnoc/ob/19067763
£ódŸ,Górna,³ódzkie,51.775375,19.456386,wtorny,36.50,,2,5,6,stan deweloperski,2020,apartamentowiec,,,,,,,,,,,,,,,,,,,,219000,https://gratka.pl/nieruchomosci/mieszkanie-lodz-gorna/ob/1276094
Bydgoszcz,Œródmieœcie,kujawsko-pomorskie,53.13227,18.00513,wtorny,26,,1,parter,1,do remontu,,kamienica,,,,,,w³asnoœæ,,,,,,,,,,,,,,190000,https://gratka.pl/nieruchomosci/mieszkanie-bydgoszcz-srodmiescie/ob/19318879
Konieczki,e³cki,warmiñsko-mazurskie,53.8360275,22.359948,wtorny,54.60,,3,2,3,dobry,,,ceg³a,,,,,w³asnoœæ,,,,,,,,,,,,,,240000,https://gratka.pl/nieruchomosci/mieszkanie-konieczki-ul-dobrzanskiego/ob/19391585
Ko³obrzeg,ko³obrzeski,zachodniopomorskie,54.18728213,15.59873178,wtorny,26,,1,3,6,wysoki standard,,apartamentowiec,,,,,,w³asnoœæ,,,,,,,,,,,,,,495000,https://gratka.pl/nieruchomosci/mieszkanie-kolobrzeg-ul-antoniego-sulkowskiego/ob/18782145
Zaczernie,rzeszowski,podkarpackie,50.093272,22.004623,pierwotny,59,,3,1,1,,2021,dom wielorodzinny/szeregowiec,pustak,,1,w aneksie,,w³asnoœæ,,,,,,,loggia,,,,,,,291060,https://gratka.pl/nieruchomosci/nowe-mieszkanie-zaczernie/ob/19377677
Poznañ,Je¿yce,wielkopolskie,52.41722222,16.88083333,pierwotny,51.49,,2,2,7,,,blok,,,,,,,,,,,,,,,,,,,,409345,https://gratka.pl/nieruchomosci/nowe-mieszkanie-poznan-jezyce-ul-dabrowskiego-81-85/ob/15907369
Poznañ,wielkopolskie,,,,pierwotny,103.33,,5,4,4,,,blok,,,,,,,,,,,,,,,,,,,,Zapytajoce,https://gratka.pl/nieruchomosci/nowe-mieszkanie-poznan/ob/18416617
Warszawa,Œródmieœcie,mazowieckie,52.2322714,21.0201265,wtorny,58,,3,1,5,,1937,,ceg³a,,,oddzielna,,w³asnoœæ,,,,,,,piwnica,,,,,,,898000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-srodmiescie-ul-nowy-swiat/ob/19448969
Warszawa,Mokotów,mazowieckie,52.189942,21.0243693,wtorny,67.64,,4,parter,10,do remontu,1975,blok,p³yta,,,oddzielna,,w³asnoœæ,,,,,,,,,,,,,,599000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-mokotow-ul-pulawska/ob/19037953
Warszawa,Nowe Miasto,mazowieckie,52.2560812,21.0052214,wtorny,158,,4,3,4,,,apartamentowiec,,przynale¿ne na ulicy,,,,,,,,,,,,,,,,,,2530000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-nowe-miasto-ul-zakroczymska/ob/19433995
Kraków,ma³opolskie,,,,pierwotny,55.94,,3,2,4,,,blok,,,,,,,,,,,,,,,,,,,,531430,https://gratka.pl/nieruchomosci/nowe-mieszkanie-krakow-ul-soltysowska-5/ob/19096651
Kraków,Bronowice Wielkie,ma³opolskie,50.09173996,19.88075847,pierwotny,71.53,,4,1,2,,2021,,,,,w aneksie,,w³asnoœæ,,,,,,,balkon,,,,,,,554286,https://gratka.pl/nieruchomosci/nowe-mieszkanie-krakow-bronowice-wielkie/ob/19275311
Warszawa,Œródmieœcie,mazowieckie,52.2542,20.98931,wtorny,63.50,,3,8,12,,1978,dom wielorodzinny/szeregowiec,,,,,,,,,,,,,piwnica,,,,,,,715000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-srodmiescie-ul-inflancka/ob/18986839
£ódŸ,Œródmieœcie,³ódzkie,51.7597,19.454,wtorny,93,,3,2,2,,,kamienica,ceg³a,,,w aneksie,,w³asnoœæ,,,,,,,,,,,,,,250000,https://gratka.pl/nieruchomosci/mieszkanie-lodz-srodmiescie/ob/18990793
Wieliczka,wielicki,ma³opolskie,49.98778165,20.0284444,pierwotny,89.61,,5,1,2,,2021,,,,,w aneksie,,w³asnoœæ,,,,,,,balkon,,,,,,,492855,https://gratka.pl/nieruchomosci/nowe-mieszkanie-wieliczka-ul-sadowa/ob/18491091
,,,,20.0284444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-sadyba-ul-jana-iii-sobieskiego/ob/19430265
Warszawa,Tarchomin,mazowieckie,52.3194350334253,20.9716856760839,pierwotny,60.09,,3,5,8,,2022,,,,,,,,,,,,,,,,,,,,,570855,https://gratka.pl/nieruchomosci/nowe-mieszkanie-warszawa-tarchomin-ul-palukow/ob/19334907
Warszawa,Ursynów,mazowieckie,52.1477557,21.0423546,wtorny,61,,3,1,12,dobry,1981,,rama H,,,w aneksie,,spó³dzielcze w³asnoœciowe,,,,,,,,,,,,,,610000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-ursynow-ul-dereniowa/ob/19437857
Józefos³aw,piaseczyñski,mazowieckie,52.10035939,21.03487015,wtorny,89.53,,3,2,2,wysoki standard,2006,apartamentowiec,ceg³a,,1,w aneksie,,w³asnoœæ,,,,,,,balkon,,,,,,,785000,https://gratka.pl/nieruchomosci/mieszkanie-jozefoslaw-ul-ogrodowa/ob/19472533
Poznañ,So³acz,wielkopolskie,52.4253,16.9072,wtorny,143,,4,1,2,po wymianie,1938,,ceg³a,w gara¿u,,oddzielna,plastikowe/PCV,w³asnoœæ,autobus*tramwaj,przedszkole*szko³a podstawowa*uczelnia*szko³a œrednia,apteka*przychodnia / szpital*weterynarz,,bazarek*centrum handlowe*sklep,,,,po wymianie,umiarkowanie ciche,,,pó³nocne*wschodnie*zachodnie*po³udniowe,1095000,https://gratka.pl/nieruchomosci/mieszkanie-poznan-solacz-ul-wojska-polskiego/ob/16793327
Warszawa,mazowieckie,,52.24053,21.034167,pierwotny,59.52,,3,1,4,,,blok,,,,,,,,,,,,,,,,,,,,Zapytajoce,https://gratka.pl/nieruchomosci/nowe-mieszkanie-warszawa/ob/17089795
Warszawa,Ursynów,mazowieckie,52.10742,21.01519,pierwotny,102.43,,4,parter,1,,2020,,,,,,,,,,,,,,,,,,,,,819022,https://gratka.pl/nieruchomosci/nowe-mieszkanie-warszawa-ursynow-ul-ks-kazimierza-czarkowskiego/ob/19380647
Rzeszów,podkarpackie,,50.05247,22.00405,pierwotny,54.43,,3,2,4,wysoki standard,2020,blok,pustak,,1,w aneksie,,w³asnoœæ,,,,,,,balkon,,,,,,,353795,https://gratka.pl/nieruchomosci/nowe-mieszkanie-rzeszow-ul-prymasa-tysiaclecia/ob/19178281
